part,mode,image,people_count,mean_brightness,std_brightness,entropy,laplacian_var,edge_density,hist_b0,hist_b1,hist_b2,hist_b3,hist_b4
part_A,train_data,IMG_1.jpg,1546,143.00768661499023,57.35428695436341,7.581203937530518,1054.5838419140007,0.16136805216471353,0.03770701214671135,0.19401423633098602,0.4217275083065033,0.15223439037799835,0.19431686401367188
part_A,train_data,IMG_10.jpg,920,83.86454663479137,72.45103609261153,7.643266677856445,1323.0534590329917,0.15123421486090777,0.44184091687202454,0.20085588097572327,0.15157879889011383,0.12068625539541245,0.08503814786672592
part_A,train_data,IMG_100.jpg,371,133.2799494098815,73.47382972529046,7.7348737716674805,1981.7267032345862,0.2035102494266055,0.14831505715847015,0.23947283625602722,0.24385841190814972,0.1427050530910492,0.2256486564874649
part_A,train_data,IMG_101.jpg,298,94.08143107096355,63.034725580998824,7.701702117919922,2427.3583492516386,0.16513824462890625,0.3071543276309967,0.31440606713294983,0.21130625903606415,0.0832672119140625,0.08386611938476562
part_A,train_data,IMG_102.jpg,184,90.57587814331055,55.56316412951597,7.621967315673828,630.6375671425423,0.07452646891276042,0.27760186791419983,0.34487152099609375,0.253692626953125,0.07419458776712418,0.04963938519358635
part_A,train_data,IMG_103.jpg,43,80.6213,77.13399104033188,7.471914768218994,8749.7579576975,0.2072625,0.507224977016449,0.13153749704360962,0.13432499766349792,0.12673750519752502,0.10017500072717667
part_A,train_data,IMG_104.jpg,360,106.08725194330133,56.61875070347951,7.681306838989258,2630.3044331054416,0.228559670781893,0.18730680644512177,0.36315956711769104,0.23430269956588745,0.14248284697532654,0.07274805754423141
part_A,train_data,IMG_105.jpg,147,112.46987757320036,47.34100312060362,7.490273475646973,270.82029925559635,0.09068053957294463,0.13674242794513702,0.23056194186210632,0.43696779012680054,0.1892133355140686,0.006514512002468109
part_A,train_data,IMG_106.jpg,584,89.70458767361112,55.96258069857029,7.505339622497559,552.0912702943967,0.14505787037037038,0.35756656527519226,0.24228154122829437,0.21895544230937958,0.1727936863899231,0.008402777835726738
part_A,train_data,IMG_107.jpg,121,104.89627659574468,67.78886667821865,7.4759602546691895,4210.6001811715905,0.18784574468085105,0.309995174407959,0.25934237241744995,0.1930246651172638,0.12235493212938309,0.11528288573026657
part_A,train_data,IMG_108.jpg,733,98.08489727632008,60.68165400019564,7.672504425048828,2660.708847973968,0.2632988204856584,0.28827565908432007,0.309683620929718,0.19795316457748413,0.12428699433803558,0.0798005610704422
part_A,train_data,IMG_109.jpg,862,74.32547924697137,45.388604987197965,7.374574184417725,1356.8879920908241,0.15535804423641703,0.3215012848377228,0.4552172124385834,0.1585845649242401,0.05505604296922684,0.009640865959227085
part_A,train_data,IMG_11.jpg,248,108.23560353270773,71.60734153814283,7.79335880279541,846.105643000424,0.1409638073979592,0.2625671923160553,0.23894178867340088,0.25276029109954834,0.1088397428393364,0.13689100742340088
part_A,train_data,IMG_110.jpg,228,79.07234994666165,58.72989540490419,7.608075141906738,1910.7183989119055,0.12829246674196787,0.420737624168396,0.2880486845970154,0.15971307456493378,0.08424714207649231,0.04725346714258194
part_A,train_data,IMG_111.jpg,723,51.247796376546226,50.859324292743466,7.025866508483887,533.7889707978402,0.1214752197265625,0.6630859375,0.1824849396944046,0.0930277481675148,0.04297637939453125,0.01842498779296875
